ASX code,Company name,Market Cap
CBA,COMMONWEALTH BANK OF AUSTRALIA.,3.0688E+11
BHP,BHP GROUP LIMITED,2.74294E+11
NEM,NEWMONT CORPORATION,1.79951E+11
WBC,WESTPAC BANKING CORPORATION,1.46286E+11
NAB,NATIONAL AUSTRALIA BANK LIMITED,1.39146E+11
ANZ,ANZ GROUP HOLDINGS LIMITED,1.17071E+11
WES,WESFARMERS LIMITED,86644777801
MQG,MACQUARIE GROUP LIMITED,85756143375
CSL,CSL LIMITED,67551545346
RIO,RIO TINTO LIMITED,63666946816
WDS,WOODSIDE ENERGY GROUP LTD,63268612759
FMG,FORTESCUE LTD,62379829239
TLS,TELSTRA GROUP LIMITED,60793282134
GMG,GOODMAN GROUP,57192861217
XYZ,"BLOCK, INC.",49759126158
RMD,RESMED INC,46819009163
WOW,WOOLWORTHS GROUP LIMITED,44991498241
TCL,TRANSURBAN GROUP,42652912122
NST,NORTHERN STAR RESOURCES LTD,35033904504
QBE,QBE INSURANCE GROUP LIMITED,33730241065
BXB,BRAMBLES LIMITED,31417945635
SIG,SIGMA HEALTHCARE LIMITED,31052560629
COL,COLES GROUP LIMITED.,30086413526
ALL,ARISTOCRAT LEISURE LIMITED,28797818385
EVN,EVOLUTION MINING LIMITED,27521276844
AAI,ALCOA CORPORATION,27178269173
AMC,AMCOR PLC,26945506813
STO,SANTOS LIMITED,25657406392
NWS,NEWS CORPORATION..,22214868260
NWSLV,NEWS CORPORATION..,22214868260
LYC,LYNAS RARE EARTHS LIMITED,21911561123
ORG,ORIGIN ENERGY LIMITED,21327616167
REA,REA GROUP LTD,20847239806
S32,SOUTH32 LIMITED,20772428967
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,18804994068
SCG,SCENTRE GROUP,18384879360
SUN,SUNCORP GROUP LIMITED,17522415040
PLS,PLS GROUP LIMITED,17269937795
SGH,SGH LIMITED,17244512336
IAG,INSURANCE AUSTRALIA GROUP LIMITED,17053696313
CPU,COMPUTERSHARE LIMITED.,16935173410
JHX,JAMES HARDIE INDUSTRIES PLC,16880088277
SOL,WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,16328947932
QAN,QANTAS AIRWAYS LIMITED,13906301374
PME,PRO MEDICUS LIMITED,13259327704
APA,APA GROUP,13224276616
DPM,DPM METALS INC.,13171018616
WTC,WISETECH GLOBAL LIMITED,12647781783
BSL,BLUESCOPE STEEL LIMITED,12511491429
MPL,MEDIBANK PRIVATE LIMITED,12448094645
TLC,THE LOTTERY CORPORATION LIMITED,12375290669
MEZ,MERIDIAN ENERGY LIMITED,12289491936
XRO,XERO LIMITED,12190461587
VCX,VICINITY CENTRES,11879260844
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,11644713882
ALQ,ALS LIMITED,11485687974
ASX,ASX LIMITED,11472512235
MIN,MINERAL RESOURCES LIMITED,11458692692
CSC,CAPSTONE COPPER CORP.,11454877922
COH,COCHLEAR LIMITED,11255113000
NXG,NEXGEN ENERGY (CANADA) LTD,10788104129
LNW,LIGHT & WONDER INC.,10188605554
IFT,INFRATIL LIMITED.,10033097199
SGP,STOCKLAND,10018373783
